ID,comment
102,နင်ဖာမတွေနဲ့ဆက်တွဲနေရင်ငါ့ကိုဖြတ်လိုက်ပါမမ
103,အရမ္း ႀကိဳက္ ပါ တယ္ 😛
104,😊
105,🖤🖤🖤🖤
106,🧐
107,ဟောင်းပေမဲ့ကောင်းဆဲ🎉
108,ကြီးကိုချစ်မိပြီးမဖွင့် ေပြာဘူးဘာလို့ဆိုသူက ငါ့ ကိုကြိုက်လို့တဲ့ငါကနာကျင် ေနရတာ သူကလဲ ေပြာတယ်ငါနင့်ငယ်သူငယ်ချင်းကိုကြိုက်လို့ငါက ေတာ့ပြံုးပီးေန ေပမဲ့စိတ်ထဲမာ😢😢
109,🎉
110,🎉
111,😂
112,🎉
113,😮😢😅😊😮😊😢😢😂🎉😮😅😊😊😅😅😅😮
114,အရမ်းကြိုက်တယ်
115,မိုက်တယ်ကွာ😉🥰💽🙈
116,😂😂
117,😂😂😂
118,🥁
119,👍
120,🤩
121,😊🤙
122,💗🎧
123,😮
124,🖤💗
125,💘💘😘
126,🥰
127,😩
128,ရှာနေတာကြာပြီ
129,ကောင်းလိုက်တဲ့ သီးချင်း
130,👀💘💘💘💘💘
131,🤩
132,😭🖤
133,💗
134,မှာ    လေးလိုခ်င္လို့ပါ လိုသံုးဆိုရင္ေတာ့လစ္ေပါ့
135,နင်ကအအသက်ကြီးလာပီကလေးကလားတွေဆိုမနေနဲ့နင်သားသမီးတောင်အပျိုတွေဖြစ်နေပီနော်
136,😊😊😊😊
137,😍
138,😻
139,🧡💜
140,💚
141,ကောင်းတယ်😁
142,😘😘
143,😊😊
144,ဒီသီခ်င္းကိုေတာ့အေသႀကိဳက္သြားပီ😍😍😍မိမိနဲ႔လဲတူေနေတာ့😎😎
145,ပထမအဆိုတော်ကို ပိုကြိုက်တယ်
146,ရမ်းမိုက်🥺🔥
147,ေသာက္ရမ္းမိုက္
148,ေန႔တိုင္းနားေထာင္္ျဖစ္တယ္ သီခ်င္းေကာင္းေလးေတြထပ္တင္ေပးပါဦး
149,မဆိုးပါဘူ
150,ကောင်း
151,မောင်မန်တလေးမှာအဆင်ပြေပါစေ။အိမ်ထောင်ကြသွားပီလား။။ချစ်မမ
152,မောင့်ကိုအားပေးလျက်ပါ။။ချစ်မမ
153,အသံမုိက္တယ္
154,🥵 🥰
155,ခ်စ္တယ္ကိုကိုရႈိင္းဝနေနာ္အစ္ကိုမဟုတ္ဘူး
156,😁😁
157,အသံကတော့ရှယ်ပဲ
158,ငါ့ကိုႀကိဳက္သြားတဲ့အခ်က္နဲ႔ေတာင္တူတယ္
159,😁😁😁
160,😍😘😘😍😍😘
161,မိုက္တယ္
162,🤟
163,က ပါတယ္တာေၾကာင့္ႀကိဳက္တာ
164,မိုက္တယ္ကြာ
165,👉😘😘😘👈
166,👉👈
167,အဲသီချင်းကိုရှာနေတာအခုမှတွေ့တော့တယါ
168,ကောင်းပါတယ်စိတ်ပြတ်ဖို့
169,😘😘😘
170,တီးလုံးကေကာင္းတယ္
171,မိုက်တယ်
172,ကောင်းတယ်🙆💕💕
173,သံကအသက္ျကိုက္တယ္စာသားေလးတင္ေပးပါလာ💖👍
174,အေသႀကိဴက္အုိက္ေဒါ
175,ေႂကြ
176,ဳ
177,စာသားေတကမိုက္ ျကိဳက္တယ္
178,အသံက အသက္🙂🙂
179,အားေပးေနတယ္😊😊
180,💓💓
181,🎉
182,👏🏾
183,သီးချင်းလေး  ချပေးပါ
184,လုပ်ပါအုံး အကိုရ အဆုံးထိ နားထောင်ချင်တာအရင်ကတည်းပြောချင်နေတာ အကိုရေမျှော်နေတယ်ဗျ  တခုမလို့ပါ
185,👑
186,ဒီသီချင်းကို အခုမှ သိလို့ နောင်တရလိုက်တာ
187,အရမ်းြကိုက်
188,စာသားပါတဲ့ဟာလေးတင်ပေးပါလား 😊
189,🎉
190,🔥
191,🎉🎉
192,မှာလဲ  နေရတုန်းပဲ😔
193,စရတာ ပျော်ဖို့ကောင်းလို့😝
194,ဘဲကြီးသိလား ဘဲကြီးရဲ့ သီချင်းတွေ အကုန်လုံးကြိုက်တာ ဒီသီချင်းထွက်ထဲကနေခုထိပဲ အဲ့တော့တွဲကြရအောင်
195,👍
196,😊
197,😲
198,ဒိလိုမျိုးလေးတွေလိုချင်မိသေးတယ်ဗျာ
199,😍
200,နင်စိတ်ကူရင်လဲနင်စိတ်ကူးကစာသားဘဲသိလား
201,😌
202,မောင်တော့လေမမနဲ့မတွေ့ခင်ကမိန်းမဆယ်ယောက်ကျော်လောက်ရဘူးမဲ့ရုပ်ဘဲချစ်မမ
203,အရမ်းပကြိုက်တယ်
204,အရမ္းမိုက္
205,ကောင်မလေးအသံ အရမ်းကြိုက်တယ်
206,🎉
207,ကနေရောက်လာတာ🎉😮
208,🔥
209,💓
210,🎉
211,ရဲလိုးတဲ့
212,ကနေရောက်လာတာ😅
213,😊
214,💐
215,မှာမြင်ဂတယ်းကလိုက်ရှာနေတာ
216,🤟🏻
217,အရန်းမိုက် တယ်ဟာ 😢
218,🔥
219,တစ်ယောက်တည်းဖြစ်နေတဲ့အချိန်မှာ ဒါလေးနားထောင်ရတဲ့ က ဝမ်းနည်းချင်စရာကောင်းသလို နားထောင်လို့လည်းအရမ်းကောင်းတယ်
220,လုပ်ခဲ့သမျှထဲဖြစ်ဖြစ်မြောက်မြောက်ကောင်းတာလေးဆိုဒိတစ်ပုဒ်ဘဲရှိတယ်ကိုကိုရယ်
221,အတော်ကြာပြီလို့တောင်ထင်ရတယ်  အဲ့အချိန်တွေတုန်းက   ကြီးက ဘယ်လောက်အလုပ်လုပ်နေရပစေ ရလာတာလေးတွေနဲ့ ပွဲတွေလိုက်ကြည့်ရတာ တကယ်ပျော်ဖို့ကောင်းခဲ့တာ
222,တွေ့လိုက်လာကြည့်တာပိုမိုက်
223,🔥
224,တော်တော်ကြာပီဘဲအားပေးလာတာဒီဘဲကြီးကို
225,သီချင်းလေးကောင်းပြီဆိုရင် မအေလိုးက ဖျက်လိုက်ရမှ
226,🔥
227,လူလည်ကုလားကြီးသားဒူဗယ်ဂျေကုလားကြီးအာပလာကြီး
228,ကုလားလူလည်ကြီးသားကုလား
229,😍😍😍
230,🔥🔥🔥
231,🔥💘
232,👍👍👍🙏🙏🔥🔥🔥
233,👍
234,😍
235,သူရဲ့တတ်လမ်းနဲ့အိပ်မက်ဖစ်တဲ့သူနာပြသင်တန်းတတ်ရဖို့ သူအရမ်းချစ်တဲ့ကျတော့ကို စွန့်လွတ်ခဲ့ရတယ်ဗျာ 😢😢သူကျတော့ကိုချစ်နေသေးတာကျတော့သိနေတယ်ဗျာ😢
